anio,unidad,ingresos_totales,gastos_personal,liquidez,dias_efectivo,cfo,participacion_ley30,participacion_regalias,participacion_servicios,participacion_matriculas,hhi_fuentes,endeudamiento,tendencia_ingresos,gp_ratio,label,cluster_kmeans,cluster_dbscan,cluster_subtractive,cluster_fcm,fcm_mu_cluster_0,fcm_mu_cluster_1,fcm_mu_cluster_2,fcm_mu_cluster_3,fcm_mu_cluster_4,fcm_mu_cluster_5,fcm_mu_cluster_6,fcm_mu_cluster_7,fcm_mu_cluster_8,fcm_mu_cluster_9,fcm_mu_cluster_10,fcm_mu_cluster_11,fcm_mu_cluster_12,fcm_mu_cluster_13,fcm_mu_cluster_14,fcm_mu_cluster_15,fcm_mu_cluster_16,fcm_mu_cluster_17,fcm_mu_cluster_18,fcm_mu_cluster_19,fcm_mu_cluster_20,fcm_mu_cluster_21,fcm_mu_cluster_22,fcm_mu_cluster_23,fcm_mu_cluster_24,fcm_mu_cluster_25,fcm_mu_cluster_26,fcm_mu_cluster_27,fcm_mu_cluster_28,fcm_mu_cluster_29,fcm_mu_cluster_30,fcm_mu_cluster_31,fcm_mu_cluster_32,fcm_mu_cluster_33,fcm_mu_cluster_34,fcm_mu_cluster_35,fcm_mu_cluster_36,fcm_mu_cluster_37,fcm_mu_cluster_38,fcm_mu_cluster_39,fcm_mu_cluster_40,fcm_mu_cluster_41,fcm_mu_cluster_42,fcm_mu_cluster_43,fcm_mu_cluster_44,fcm_mu_cluster_45,fcm_mu_cluster_46,fcm_mu_cluster_47,fcm_mu_cluster_48,fcm_mu_cluster_49,fcm_mu_cluster_50,fcm_mu_cluster_51,fcm_mu_cluster_52,fcm_mu_cluster_53,fcm_mu_cluster_54,fcm_mu_cluster_55,fcm_mu_cluster_56,fcm_mu_cluster_57,fcm_mu_cluster_58,fcm_mu_cluster_59,fcm_mu_cluster_60,fcm_mu_cluster_61,fcm_mu_cluster_62,fcm_mu_cluster_63,fcm_mu_cluster_64,fcm_mu_cluster_65,fcm_mu_cluster_66,fcm_mu_cluster_67,fcm_mu_cluster_68,fcm_mu_cluster_69,fcm_mu_cluster_70,fcm_mu_cluster_71,fcm_mu_cluster_72,fcm_mu_cluster_73,fcm_mu_cluster_74,fcm_mu_cluster_75,fcm_mu_cluster_76,fcm_mu_cluster_77,fcm_mu_cluster_78,fcm_mu_cluster_79
2016,Ciencias Económicas,112796893471.00256,57697505446.5357,1.7686718409687652,102.05680225320756,6299227711.793105,0.3565107477078985,0.085345972901087,0.2366382488627058,0.2022619481964017,0.2455103175187036,0.4165016716161784,0.0178917572906259,0.511516795108975,0,0,-1,71,71,3.614021351820886e-33,5.490952924433993e-33,3.016682258777474e-33,4.37552496836723e-33,1.5645192981158717e-33,5.59403025160018e-33,1.6265699474667046e-33,1.601247521624665e-33,1.669715634435233e-33,1.965983056318528e-33,1.958668962275654e-33,3.132692455287566e-33,1.2696259838834e-33,3.3966514962578814e-33,1.8615966481948195e-33,1.597587459038671e-33,1.9205078224019628e-33,1.0877401851052031e-33,1.688368816879893e-33,8.816146610646987e-34,1.2434314924903494e-33,1.3070542345226536e-33,1.7668123253867752e-33,1.2322547368373872e-33,2.0862463776399995e-33,1.785337377377301e-33,5.782994874502892e-33,1.7527938342728564e-33,1.0903822247446532e-33,2.9576855979217772e-33,2.4655273718435437e-33,1.5249233292749443e-33,1.4367193958476113e-33,2.7436789817780314e-33,1.3332060017760274e-33,3.0001881311476177e-33,2.6029613189721894e-33,1.2800878019366442e-33,1.5271478450188758e-33,3.3528103631734634e-33,1.6531298056139355e-33,1.9016208640224096e-33,2.3042962253148986e-33,2.5781242491147895e-33,1.6631992405440535e-33,1.5712896347497756e-33,2.0275982602622564e-33,1.418842205431872e-33,3.982868215114779e-33,3.1952169448680025e-33,1.8819782265022693e-33,1.9050988039426176e-33,1.7300161771098588e-33,2.3047665084197063e-33,2.302116343016082e-33,1.4975713037831132e-33,4.065598410431136e-33,2.3477620741775092e-33,1.1285897958114824e-33,2.775500642600365e-33,1.6380382111129858e-33,4.487117808172232e-33,3.1031039036767215e-33,1.9215727483476034e-33,2.0712120227970363e-33,3.391900397161441e-33,1.5401457961658638e-33,2.8251298803020785e-33,2.0452844965814174e-33,1.5901903226533696e-33,1.7924783602435576e-33,1.0,4.5383156730915144e-33,2.852553178045848e-33,1.9530440485416275e-33,3.0132104951603392e-33,3.169243951735781e-33,2.287478819632545e-33,2.5700619768962058e-33,3.986035324585804e-33
2017,Ciencias Económicas,100420775869.84166,58253117931.75008,1.3547337990799495,116.2372382246916,-16629382569.323437,0.294017246453908,0.0633588459080333,0.2476928083001605,0.158773017609055,0.2327917225372883,0.372545922053905,-0.0473093545004245,0.5800902993146922,0,0,-1,35,35,3.163407252583482e-33,2.4139652953558743e-33,1.9104605051939658e-33,3.638953490752625e-33,1.863304725309005e-33,2.3586933374337435e-33,1.63682090434296e-33,1.472738158283835e-33,1.1831865137181257e-33,2.0356872312784633e-33,2.1333959060056158e-33,1.6464956118077196e-33,1.6024184375285514e-33,1.426710067642913e-33,2.1932812555424136e-33,1.5219363075266216e-33,1.5518199442505645e-33,1.2152618347327354e-33,1.6409190740723707e-33,1.1549853688156635e-33,1.2759776206044494e-33,2.2261018352311913e-33,1.4995574368716243e-33,1.55682358679011e-33,1.2335896565932513e-33,1.3624032177264818e-33,1.455658995306249e-33,1.4088903897721262e-33,1.0611481300663928e-33,1.5851570766194564e-33,1.174348603412699e-33,1.9414116721111413e-33,1.6218281000711423e-33,1.631894571568251e-33,1.2454908811181742e-33,1.0,2.3779998939504424e-33,1.4060125801517808e-33,2.1962237782974126e-33,2.1764740804465947e-33,1.8939018004390585e-33,1.808457665471216e-33,2.7363154199895362e-33,2.4353976922829706e-33,1.612238499986544e-33,1.3250907396913103e-33,1.592203087998567e-33,1.282565915988975e-33,1.6185529301782278e-33,1.6860799064331912e-33,1.29305561820648e-33,2.0304289040162366e-33,1.7850176483256084e-33,1.4181478615304443e-33,1.2725643838651215e-33,2.5770699966740985e-33,2.2297410463770224e-33,2.7342944008936868e-33,1.1185449853509197e-33,2.7458052072309776e-33,1.9287372733054846e-33,2.4600802273512344e-33,1.7138289390192575e-33,2.0665227977152277e-33,1.774031679880115e-33,2.050464117007425e-33,1.4957688789804032e-33,2.113116917838933e-33,1.5307369208240122e-33,2.0601238751350752e-33,1.5363818515952027e-33,3.0001881311476177e-33,2.4783312602170308e-33,2.6165610753439702e-33,2.2053110431191906e-33,3.190434445018965e-33,2.3624845179066293e-33,1.6820518993765634e-33,3.0596110004146405e-33,3.165007208364939e-33
2018,Ciencias Económicas,111713700402.77003,55897899296.51482,1.5035612413191564,90.06054403857645,8826307762.798704,,0.0545120685295529,0.1675504161340756,0.1769951764810467,0.2467206391090731,0.3938325794620841,0.0739092564777927,0.5003674490683041,1,0,-1,5,5,8.345422350620061e-33,5.208164493019301e-33,3.436960793593827e-33,4.4657782996399524e-33,2.411473163824524e-33,1.0,2.6799797452933725e-33,1.9689585274005878e-33,1.979296872100844e-33,2.07532759236397e-33,3.133850828015188e-33,2.7442759433261976e-33,1.2110128723465246e-33,2.087367420414902e-33,2.6134474442036996e-33,1.648811292005278e-33,2.7486025715280416e-33,1.3711117682696094e-33,1.9977087741013737e-33,1.0848611516989037e-33,1.5853324603212202e-33,1.9081858231752926e-33,1.6781491726731775e-33,1.4317634120487523e-33,3.769726857942709e-33,3.166441123712684e-33,4.232576689041033e-33,2.617598764911908e-33,1.5307042999434367e-33,2.700113684637395e-33,2.9593440068993836e-33,2.2962295773379352e-33,2.0853716279653424e-33,2.950273290212906e-33,1.392116333613102e-33,2.3586933374337435e-33,2.788388612258248e-33,1.3296089235014673e-33,1.8529064431480475e-33,4.3839868192593964e-33,3.299318738282173e-33,1.8579504269917108e-33,2.909132101789544e-33,2.1513887191182788e-33,2.6565996972785802e-33,1.9431249050926802e-33,1.6027683324945323e-33,3.6481142953864275e-33,1.879660112764458e-33,3.754328990342819e-33,4.202093976549297e-33,4.064717087304366e-33,1.7144584624837254e-33,2.0106710517373407e-33,1.8749176688737142e-33,2.0490701325145028e-33,4.219011456083686e-33,2.6785916794074543e-33,1.587006222655821e-33,2.801783542311956e-33,1.754776851051344e-33,4.123608463170951e-33,4.264439618546677e-33,2.7152728933480013e-33,3.097160894773819e-33,3.600899499484392e-33,2.0427128133056825e-33,5.0609577234578734e-33,2.8848316647236125e-33,2.6289864023469104e-33,2.740959926699747e-33,5.59403025160018e-33,3.1387448403951614e-33,2.7088092286139756e-33,3.2392199642930476e-33,4.5171776171817656e-33,4.6447417755120916e-33,2.847824865360819e-33,4.52016562789249e-33,8.709763955224815e-33
2019,Ciencias Económicas,131159852515.41852,67290668277.58712,1.3439816469459775,108.69175553378396,9320575183.076912,0.4047676464878477,0.0528212814751547,0.1925678935906901,0.0777178158372856,0.2838016009355539,0.3137553835132573,0.0250202916869347,0.5130431834671112,0,0,-1,64,64,2.2230052412853528e-33,2.0429135922171187e-33,1.666938859061928e-33,1.6197846598469547e-33,1.5576269965801227e-33,3.097160894773819e-33,1.080836823033031e-33,2.7003182511048647e-33,3.3321802073060934e-33,1.369756558043644e-33,1.687262360209353e-33,1.6355561573451167e-33,8.533948134063436e-34,1.18569995321569e-33,1.599557433779423e-33,1.1799436084281319e-33,2.2349319968848054e-33,2.0939161130711005e-33,1.2084269045655676e-33,1.135199352887594e-33,1.688788329773412e-33,1.2478556228979902e-33,2.5581888626009865e-33,1.0264052315450263e-33,1.816977659181461e-33,4.057024670451782e-33,2.3461536179934962e-33,1.691839103362104e-33,1.182204151513811e-33,1.731266967424734e-33,1.4945984028781488e-33,2.431669193848176e-33,1.0490543702505079e-33,1.1706429736321007e-33,1.3017522185240778e-33,1.774031679880115e-33,2.3057157456003393e-33,1.1104183677300091e-33,1.2311227317727386e-33,2.1343605723917303e-33,5.4345243723111225e-33,1.3527252488791952e-33,3.6874587001981286e-33,1.0988818715245083e-33,2.390664430002595e-33,3.3479580193349916e-33,1.4229153118606996e-33,1.558137512072154e-33,1.26537095633743e-33,2.2281161654614584e-33,1.6957204006661004e-33,2.917339675715832e-33,1.1580316020250554e-33,9.621817520266958e-34,1.6869397379128322e-33,1.333504930126531e-33,1.5345486364427573e-33,2.468255047379742e-33,1.3327110574744226e-33,1.827401250575873e-33,1.0587952379885433e-33,2.019619542389404e-33,2.0742062980403833e-33,1.505899533881936e-33,1.0,3.7600068070921776e-33,4.020339579954999e-33,2.1908453008985486e-33,4.748914874308432e-33,1.2286866646541006e-33,1.718134743881042e-33,2.0712120227970363e-33,1.4243673661701232e-33,1.7210070565131965e-33,2.2155526519750848e-33,2.1968778133975017e-33,2.7700231013751983e-33,1.697716603479353e-33,1.9464556224744045e-33,2.3496848906733892e-33
2020,Ciencias Económicas,99065535018.05376,56282340633.914406,1.9215938142881,101.11855711509403,25189167432.85432,0.3165353255124623,0.0577829855789398,0.2029369141896707,0.1712821495158823,0.2372879034773102,0.3481515734927339,0.0064513558779849,0.5681324047122692,0,0,-1,61,61,2.977085687084956e-33,4.783563835111515e-33,2.129366072790795e-33,3.697868479050011e-33,1.5501160043194164e-33,4.123608463170951e-33,2.258288662117498e-33,1.925149416681111e-33,1.3705028221413264e-33,1.4760329507229054e-33,1.9900958591428074e-33,1.5090204006432644e-33,1.08797227852582e-33,2.6586190703481923e-33,1.6950084591928567e-33,1.664109749658465e-33,2.3058557188155925e-33,9.506684165093412e-34,2.2397854224938087e-33,1.1297112910492255e-33,1.3138216015276082e-33,1.3472183473695372e-33,1.3008898858412387e-33,1.6494192509407106e-33,2.0592728732279635e-33,1.5176678043032122e-33,2.4311615791019436e-33,1.4588328069058262e-33,9.300451445083611e-34,3.763899575043255e-33,1.6667136797990618e-33,1.5168227553749335e-33,1.4441443385085578e-33,1.744523571630889e-33,1.56585929325381e-33,2.4600802273512344e-33,2.687633879549245e-33,1.2184965074115734e-33,1.1815460854669552e-33,3.3604153392306004e-33,1.633736125535476e-33,1.2439220810926292e-33,3.869549052564947e-33,2.0855605356018085e-33,1.9207900071782396e-33,1.6717729940070693e-33,1.739768899341394e-33,1.7149637386305637e-33,1.758964713978301e-33,2.9930131838462893e-33,1.5429381098695193e-33,2.0764204171607113e-33,2.0326441259789647e-33,1.6526336656394684e-33,2.0382706854929378e-33,1.9850767699691005e-33,2.5251505324279382e-33,1.7881631045275094e-33,1.5447236471401116e-33,2.339364062759154e-33,1.2577637411906885e-33,1.0,2.6254991842610927e-33,1.6484726956188654e-33,2.019619542389404e-33,1.7826826691312236e-33,1.5751617145165123e-33,3.7383035869608776e-33,1.9204907155576026e-33,1.6255710448919267e-33,1.7494706213241888e-33,4.487117808172232e-33,1.9676681856655627e-33,3.0536198601795697e-33,2.1782874591475024e-33,3.0877585460236995e-33,2.9838765816329096e-33,2.007671283122541e-33,3.300036376094125e-33,3.7383802424878564e-33
2021,Ciencias Económicas,125209562389.15115,64888089621.12253,1.5449381406794616,58.2515308858675,23106719286.109444,0.3539770807786614,0.0715937955828866,0.2062561226717032,0.1233567098991227,0.2481189276713567,0.528975443424991,0.0105858175513775,0.5182358949506622,0,0,-1,49,49,2.218730378233058e-33,2.8490856873610763e-33,1.9458847180300473e-33,2.787795639161531e-33,3.0349795175993706e-33,3.754328990342819e-33,1.6673728230915943e-33,2.7631260205961425e-33,1.6216259629288032e-33,1.2485038344781397e-33,2.0144247399433186e-33,2.0823468289179743e-33,1.0757227359292148e-33,2.2893644444090305e-33,1.4834965370382523e-33,1.0422509189270471e-33,1.8022162719736156e-33,1.1286137469520413e-33,3.0030692266748988e-33,1.1459256219253326e-33,1.7383392557900197e-33,1.2539358888161507e-33,2.07093828605412e-33,1.5893957463411037e-33,1.8838141369481192e-33,1.8099168248206134e-33,1.9172239188763796e-33,2.2755700595461237e-33,1.729767206926039e-33,1.3624725286113698e-33,1.3346337298971686e-33,1.4315826695544978e-33,1.477838608593142e-33,2.350949390238086e-33,1.5159024200499494e-33,1.6860799064331912e-33,1.79264093057982e-33,2.0070754974651598e-33,9.680920377560463e-34,2.14005068879006e-33,2.4688717230518447e-33,1.042355271698696e-33,2.2651800085917634e-33,2.9448231988918493e-33,2.28811573116532e-33,1.6684636423119316e-33,1.496360826404944e-33,1.4744674150241682e-33,1.9665307482257406e-33,1.0,1.2468008476805305e-33,2.5517876375416944e-33,1.5416209876774634e-33,3.0254533639820597e-33,3.789650111040114e-33,1.9474836756256483e-33,2.0967559262452077e-33,1.5912934872544853e-33,1.953030941350402e-33,2.038377737902557e-33,9.734174874973793e-34,2.9930131838462893e-33,1.614711077058625e-33,1.2609534032988152e-33,2.2281161654614584e-33,2.5185517872475235e-33,1.745795848756514e-33,2.8488895665286495e-33,2.3344053945246627e-33,1.7706627308323056e-33,1.4594903805736106e-33,3.1952169448680025e-33,2.1125355695644078e-33,3.229205843846966e-33,3.150301687891799e-33,2.3802269536903885e-33,3.9006873745825125e-33,1.888739285097873e-33,2.2420200790078287e-33,3.0880844243583135e-33
2022,Ciencias Económicas,121171376130.8366,60646985210.30818,0.9925229336840772,105.80956467963048,,0.3678300965528005,0.0316254817192909,0.1767283864242423,0.1250124811591112,0.2724437580071112,0.4139244717157319,0.0116189041418964,0.5005058714924859,1,0,-1,40,40,2.8019496712271645e-33,2.160305074957042e-33,1.9993556751980332e-33,1.8723585786895034e-33,3.060416083257946e-33,3.299318738282173e-33,1.274459964624316e-33,2.484941966951198e-33,2.7613613159960915e-33,1.8594052585289984e-33,2.292076444648043e-33,1.5390542120842222e-33,9.512175816998415e-34,1.2031350434195409e-33,1.8877178125921594e-33,1.1788391461566118e-33,2.165772912632132e-33,1.9990488353421057e-33,1.6879177344023513e-33,1.2375693461974083e-33,2.0400052882605945e-33,1.8032293193154276e-33,2.245364803385844e-33,1.2216675240820405e-33,2.1814862491269408e-33,5.3490059031514676e-33,1.617110754933163e-33,2.83822815164617e-33,1.749165372907568e-33,1.3235757209283743e-33,1.4558180459383114e-33,3.171637402183811e-33,1.9170223695349834e-33,1.2475895118652156e-33,1.586621469040945e-33,1.8939018004390585e-33,2.6020043279165955e-33,1.5927436860522302e-33,1.4984124440056725e-33,1.7285423867746775e-33,1.0,1.2055857464135725e-33,2.4975354155581618e-33,1.3116726458888374e-33,1.9345992572455866e-33,1.953793629310961e-33,1.3720895138205256e-33,2.4168163819712536e-33,1.0610331588787396e-33,2.4688717230518447e-33,2.0183528384157456e-33,4.509086641843829e-33,1.2100554797483914e-33,1.1626686714308236e-33,1.5109579379897048e-33,2.2961072459819057e-33,1.5019706801458225e-33,2.443713017280194e-33,1.779291273930051e-33,2.4696345546468633e-33,1.2377169410200829e-33,1.633736125535476e-33,1.6997545332284833e-33,1.581968471956443e-33,5.4345243723111225e-33,3.025493175361628e-33,2.6664187472615552e-33,2.276834926680259e-33,3.294888605288589e-33,1.9175054420036814e-33,2.0067888373823174e-33,1.6531298056139355e-33,1.6130693370410762e-33,1.7693107873742463e-33,3.0399836592779653e-33,2.7331761721617607e-33,3.584972925859334e-33,2.312049929298824e-33,2.110584477409107e-33,2.8804320073201332e-33
2023,Ciencias Económicas,127942629571.4576,72287431866.86932,1.4919422185591198,62.77749094320888,5553476517.24027,0.3447035127619534,0.0560177523448549,0.2345437193712461,0.1911865068063184,0.2436406218469181,0.3300553720303265,0.0758777583366521,0.5649987975782212,1,0,-1,67,67,2.6531397827784748e-33,4.350923438489549e-33,2.958619286109458e-33,2.673437470003467e-33,2.2910806092962825e-33,5.0609577234578734e-33,4.1599748140173675e-33,2.5667753123217443e-33,1.703867661170789e-33,1.8795693157332598e-33,4.870711462321593e-33,1.6307971154220927e-33,1.680265223815227e-33,2.0852946475020937e-33,1.748167768981429e-33,1.2875848210773748e-33,2.63684876894036e-33,9.653333142505001e-34,2.736207896110872e-33,1.1018664915651356e-33,1.2688838847950785e-33,2.896995597713807e-33,1.992218305997002e-33,2.1568333146803318e-33,3.7843080413847114e-33,2.1829954944743287e-33,1.899065845119102e-33,2.076276315910992e-33,1.5472583156475207e-33,2.4554645295282123e-33,1.6233250204447824e-33,1.4505976851396672e-33,1.809113458314788e-33,3.027310062378952e-33,1.1450817634292969e-33,2.113116917838933e-33,3.92026417429889e-33,1.665494525195204e-33,1.3488718967767577e-33,2.663931151935427e-33,2.276834926680259e-33,2.256780378223286e-33,3.106692599797662e-33,1.6804285576448388e-33,2.9664966392461103e-33,2.394298265134433e-33,1.5354925129631612e-33,3.4129272735723186e-33,2.0244733347699455e-33,2.8488895665286495e-33,2.2016567490388376e-33,2.8480085204492112e-33,1.908712029653128e-33,2.1243252723979912e-33,1.965747463405274e-33,3.46680492708491e-33,4.4042718804619974e-33,2.277068514325076e-33,2.6248947102708197e-33,2.261909784095537e-33,1.6865362816803764e-33,3.7383035869608776e-33,4.425780189132989e-33,2.6483034520918187e-33,2.1908453008985486e-33,2.25313478354207e-33,2.0562480354790595e-33,1.0,3.433358715786597e-33,3.4186613632760495e-33,2.9140144315113525e-33,2.8251298803020785e-33,1.544997434902321e-33,3.847887275405507e-33,4.46359072712322e-33,3.0688454533959387e-33,4.259026646367e-33,3.27180231516732e-33,4.680186869257443e-33,4.928437577769944e-33
2024,Ciencias Económicas,144652428182.52933,84423231760.45982,1.3298962474190716,96.6445829534248,-33011593840.145737,0.2758774532900009,0.0261589516924408,0.2571343110580809,0.1767766711182819,0.2438844877106613,0.4212238977768633,0.0743817260519271,0.5836281687157755,1,0,-1,21,21,1.9094970611737685e-33,1.799385312081588e-33,1.566198432668759e-33,1.4260764216561614e-33,1.880758831245323e-33,1.9081858231752926e-33,2.7059023339138296e-33,1.4754069613052946e-33,1.1518940164449266e-33,1.4615658068133458e-33,2.5873218632625795e-33,8.705175991090097e-34,2.355355701209218e-33,1.0398822183626449e-33,1.4336859874062058e-33,8.673876403839443e-34,1.6979996453996548e-33,9.537844327032243e-34,2.1155925090680465e-33,8.987619327782815e-34,1.069037898038588e-33,1.0,1.1508153528698433e-33,1.3520982592432166e-33,1.7520711236114668e-33,1.2818804044348279e-33,1.0089542282541346e-33,1.2188958205721552e-33,1.4423034005109387e-33,1.0891210752339981e-33,1.0358867500556018e-33,1.1378308180913385e-33,1.7617866099047963e-33,1.2317753093735332e-33,7.71499036775751e-34,2.2261018352311913e-33,2.1048909631418825e-33,1.7927149780458747e-33,2.3006782738717475e-33,1.3625148174705352e-33,1.8032293193154276e-33,2.158771802162448e-33,1.7647563837556505e-33,1.0360976694796148e-33,1.630772558760058e-33,1.399297966502655e-33,9.032343460373879e-34,1.8361631629113497e-33,1.1365477531460735e-33,1.2539358888161507e-33,1.3352086097105073e-33,1.7017402444713387e-33,1.5159956716861418e-33,1.2808612390699411e-33,9.092470890202243e-34,3.1483675128558135e-33,1.4760354153943517e-33,1.3102971793471283e-33,1.6862365534011786e-33,1.3980749531918868e-33,2.873989285446568e-33,1.3472183473695372e-33,1.641965177809591e-33,1.6859488283667072e-33,1.2478556228979902e-33,1.143379386427773e-33,1.2319979921390925e-33,2.896995597713807e-33,1.4111398910463497e-33,3.310408902296857e-33,1.662378621056445e-33,1.3070542345226536e-33,1.2327279185445538e-33,1.856469065045893e-33,2.6321829026928346e-33,1.6155115819577885e-33,2.410899750461982e-33,1.9897897816605718e-33,2.1575743381150067e-33,1.9623176460859964e-33
2025,Ciencias Económicas,142706654986.28525,73702936735.23897,,132.69486726145502,6745379345.055219,0.3367971352822294,0.0656920605962711,0.2809492931066213,0.1968071838795344,0.2497544289510425,0.3098809771956847,0.025097596873004,0.5164646087620942,0,0,-1,36,36,2.444307717464861e-33,3.721077227198716e-33,4.183696577059631e-33,2.6066829580287306e-33,2.0951530175510828e-33,2.788388612258248e-33,1.701634307860856e-33,2.3635475056977943e-33,1.9773121268535505e-33,4.641122497918805e-33,3.446687753561052e-33,1.7793224552410542e-33,1.8087362721906697e-33,1.5781072477922104e-33,1.774235702724789e-33,1.8419080232782912e-33,4.809636712513932e-33,9.816336992898346e-34,1.509124705924651e-33,8.357677061150182e-34,1.3548262626201989e-33,2.1048909631418825e-33,2.0474122528158604e-33,1.2730747528417317e-33,2.4608147523692146e-33,2.0476117376330946e-33,1.8894716946497473e-33,1.3301122279908411e-33,1.4573835456586335e-33,2.0727152070120144e-33,1.5462175586423203e-33,1.6581055254714248e-33,1.9338020068563315e-33,1.4751612219734755e-33,1.7915284053128054e-33,2.3779998939504424e-33,1.0,1.6241926139555145e-33,1.7656910178636387e-33,2.0056514663014562e-33,2.6020043279165955e-33,1.6531808355275114e-33,3.614541302067241e-33,1.4592926696361913e-33,1.792156679258322e-33,2.4598401999404327e-33,1.6232405259011725e-33,1.719419984823184e-33,1.7594046924915643e-33,1.79264093057982e-33,2.405524204827475e-33,1.9014679416268452e-33,2.7660180334025473e-33,1.5791174879776063e-33,1.7265976064818385e-33,2.6901880373040348e-33,2.198391264903402e-33,3.596718932812441e-33,1.4769988898043492e-33,4.7015197266689496e-33,1.5838062861293294e-33,2.687633879549245e-33,3.373428378389139e-33,2.573702735593961e-33,2.3057157456003393e-33,1.9100096226962244e-33,1.9470331341214985e-33,3.92026417429889e-33,2.686536947954611e-33,2.1920555701407938e-33,3.787407856459087e-33,2.6029613189721894e-33,1.954601497780348e-33,2.4226831129433354e-33,2.3408655933122785e-33,2.162787688946864e-33,3.671292431487525e-33,3.3999999701910194e-33,2.8807562209249252e-33,2.8767589547959255e-33
2016,Medicina,186799338671.8841,94483786707.06538,1.0192341490419046,109.9833174072631,13319246561.90809,0.2874405063263402,0.0363134532297667,0.144094601236817,0.1615525034745311,0.2681467482131939,0.3253969476637355,-0.0382378539063545,0.5058036467303966,0,1,-1,31,31,2.3172279664848056e-33,1.5162206440658872e-33,2.730671989784398e-33,2.096205082512301e-33,1.3471021844124935e-33,2.2962295773379352e-33,1.0980640688985115e-33,2.098380603030924e-33,2.1030424215110083e-33,1.4228405857772662e-33,1.6157105527032055e-33,1.3289567587165225e-33,8.85784931554769e-34,1.253877047489463e-33,1.9361706141772358e-33,2.8030266247220086e-33,1.550179076714501e-33,2.2269172776043118e-33,1.0169679746329944e-33,1.2380243714254178e-33,1.3007811093889649e-33,1.1378308180913385e-33,1.561100540373693e-33,1.3430660237553526e-33,1.2315623898309073e-33,1.8530476655729843e-33,1.3142374145719554e-33,1.614940466369341e-33,9.930134990132961e-34,1.3497367884988588e-33,1.700099266191658e-33,1.0,1.9961375414444526e-33,1.0263730571551243e-33,2.1934989297741442e-33,1.9414116721111413e-33,1.6581055254714248e-33,1.1945394242208416e-33,1.8942338632117858e-33,1.4158772743532648e-33,3.171637402183811e-33,1.2639721093736051e-33,1.7486100076151026e-33,1.368852474089482e-33,1.6763607778329473e-33,1.4772656647349037e-33,2.5680263834007205e-33,1.5809110204637054e-33,1.0702622179586603e-33,1.4315826695544978e-33,1.4776969662665672e-33,2.5909352190946526e-33,1.3903022184174856e-33,8.044207274819322e-34,1.550464647323284e-33,1.5405584672591047e-33,1.4409708151342328e-33,2.228201117245944e-33,1.5151943286388774e-33,1.8179890447603396e-33,1.5060115345258234e-33,1.5168227553749335e-33,1.2441507078735505e-33,1.3693728418395066e-33,2.431669193848176e-33,1.9537324859497114e-33,3.139748698388829e-33,1.4505976851396672e-33,2.7560219642649968e-33,1.333878166904032e-33,2.331366028524606e-33,1.5249233292749443e-33,1.3292313445046305e-33,1.355688549614193e-33,1.4237105245364506e-33,2.8092805500276168e-33,1.503761993355357e-33,2.481204856912898e-33,1.894758632664483e-33,1.9925297072180718e-33
2017,Medicina,210566283492.7202,114048549007.01276,1.5732161502668007,112.4281174918966,-30534927270.813225,0.3011193206686172,0.0215256854060574,0.2547893659569804,0.2550320218685454,0.2491626627680512,0.3968435537183774,0.037729105577837,0.5416277815956974,1,1,-1,60,60,1.751740558560988e-33,1.7087032656127535e-33,2.433472797430327e-33,1.3495508441240314e-33,9.613524135577174e-34,1.754776851051344e-33,1.4481774774646396e-33,1.3015955366222522e-33,1.4411781414997197e-33,1.2348785379306372e-33,1.5672800492350714e-33,8.33123822071052e-34,1.6979560431080905e-33,1.4761408212636323e-33,1.3616284486380453e-33,1.3248216013903282e-33,1.296814294764016e-33,9.847167564037481e-34,1.2876527970501833e-33,6.7889635309265435e-34,7.3958849265383914e-34,2.873989285446568e-33,1.011043950308436e-33,1.0620337357965896e-33,1.4084290874126273e-33,1.0899225834808769e-33,1.3220909675038325e-33,1.0928110091376596e-33,8.521056154495537e-34,1.4247719600634748e-33,2.0452219500040396e-33,1.5060115345258234e-33,1.664352149108927e-33,1.0033622584013972e-33,8.371387967006549e-34,1.9287372733054846e-33,1.5838062861293294e-33,1.3908389740101333e-33,3.860539926510396e-33,1.1180062270315613e-33,1.2377169410200829e-33,4.0442053932690714e-33,1.1621150274472279e-33,9.218316999481501e-34,1.0727289319106528e-33,1.1556782702234284e-33,1.4852585316553699e-33,1.3328085968695225e-33,1.4190644538774663e-33,9.734174874973793e-34,1.2671168485841016e-33,1.180661407528003e-33,1.3730597859556106e-33,9.165142607502492e-34,1.0058762629298322e-33,1.4554185881739313e-33,1.4357893623015366e-33,1.1406930337856013e-33,1.4038541108148662e-33,1.2198424081637742e-33,1.0,1.2577637411906885e-33,1.4044958359464427e-33,1.2859965425412204e-33,1.0587952379885433e-33,1.131478992590678e-33,1.3477622205132376e-33,1.6865362816803764e-33,1.5110020185078245e-33,1.5264137248272957e-33,1.8180043868721216e-33,1.6380382111129858e-33,1.3083620236262214e-33,1.387293895334789e-33,1.2848939479464128e-33,1.5020601024487458e-33,1.4758648181759596e-33,3.4479624430030366e-33,1.4028425203604594e-33,1.5217255129327928e-33
