frecuencia_uso_ia,uso_para_codigo,uso_para_teoria,dependencia_ia,promedio_acumulado,nota_algoritmos,nota_bases_datos,horas_estudio_semana,aprendizaje_activo,proyectos_personales,preparacion_laboral
Nunca,0,0,Alta,3.4810879294029395,3.145738299888053,3.6091430270227387,13.600804711834645,Medio,0,0
A_veces,0,1,Alta,3.6959860223313314,2.941857362269244,3.0278602894146265,9.023373458837405,Bajo,0,0
Nunca,1,1,Alta,3.8926232125864693,3.38806231595439,2.7768683638611837,10.497749193961882,Bajo,0,0
Frecuente,0,1,Media,4.65338351928933,4.208937554090237,4.603368477556974,23.28753935613635,Alto,1,1
Frecuente,0,0,Baja,4.1184255675993064,5.0,4.141653596876584,18.480125306873045,Alto,1,1
Frecuente,1,1,Baja,4.346613578692357,3.9454055595195614,4.110576085741423,19.08956873945203,Alto,1,0
A_veces,1,0,Media,4.1607909380387404,3.8744245808174567,3.2672382701949156,8.416804415807505,Bajo,0,0
Frecuente,1,1,Alta,3.518720061348719,3.2894465756505866,4.012027398172862,7.276899591527807,Bajo,0,0
Nunca,0,1,Alta,3.392558265254897,3.7333148149168975,3.0541744860203286,11.749627488401911,Bajo,0,1
Frecuente,1,1,Alta,3.741909758804719,3.4663099041928573,3.716827854151303,13.943855212660997,Medio,0,0
Nunca,1,1,Alta,3.184840307260053,2.6131704804759366,2.11608967497045,7.897899316301045,Medio,0,0
A_veces,0,0,Alta,3.4355437400212194,2.8595061156823562,3.1217897567859763,11.840376291497876,Bajo,0,0
Nunca,0,1,Media,4.824616644998852,4.512222861551749,4.152475355248455,19.87878240531642,Alto,1,0
Frecuente,0,0,Alta,3.371461656319166,3.472684442112548,3.194702216128295,7.764396272079614,Bajo,0,0
Nunca,0,0,Baja,3.4850637239775635,5.0,4.157370906848763,24.21526626714088,Medio,1,0
Nunca,0,1,Media,2.969484620948581,3.296964489624788,4.07394184438093,3.142500479160719,Medio,0,0
A_veces,1,0,Baja,4.690762810793819,3.8905013491633005,4.053642271929344,28.353498819122912,Alto,1,1
Frecuente,1,0,Media,4.314486726530662,3.547918377542775,3.701627835340036,20.01129046991761,Alto,1,1
A_veces,1,0,Baja,4.677730647427467,4.345033985524293,3.831074513249085,21.9072523808649,Medio,1,1
A_veces,0,1,Alta,3.066749766335292,3.1228198936322094,3.287545910887554,5.663898020327182,Medio,0,0
Nunca,0,0,Alta,3.514803203876848,3.587182713525949,2.8491737803137496,2.0,Bajo,0,0
Nunca,1,1,Baja,4.681858682288228,4.172950013907459,3.764370853841004,21.985014264108884,Alto,1,1
A_veces,0,1,Alta,3.4861573144873965,2.941950319421972,3.327046942818336,10.597421746344008,Medio,0,0
Frecuente,1,1,Baja,4.723250472969476,4.2817949370695185,4.005501988461296,14.773672405360996,Alto,1,1
A_veces,0,1,Baja,3.8201956191943407,4.733520402402664,4.294875252169531,22.370901385510816,Alto,1,1
Frecuente,0,1,Alta,3.5233715311376956,2.966375267856746,3.3861504108453624,12.790398418769598,Bajo,0,0
Nunca,0,0,Alta,3.2128158578508907,3.942951496118331,3.509329666268749,17.279069120928817,Bajo,0,0
Frecuente,1,1,Media,3.443108333699056,2.948087845666898,3.525103904521072,16.804690969243595,Bajo,0,0
Frecuente,1,0,Alta,3.7396785720834975,3.682477084982265,2.9651797892666334,7.792893254454359,Bajo,0,0
Nunca,0,0,Alta,2.863107771349777,3.217095600125697,3.5850442832479557,13.04165862457719,Bajo,0,0
Nunca,1,1,Baja,3.41413108647095,2.44444117975191,3.3975933461091907,2.0,Bajo,0,0
Frecuente,1,1,Media,3.1801439414415493,3.6558249682336097,3.520204473063975,9.067254150802505,Medio,0,0
Frecuente,0,1,Alta,3.9410209923486987,3.6588176479593013,3.8571346332308707,5.03505576857468,Bajo,0,0
A_veces,1,1,Media,3.1566676918565717,3.8189341148849527,4.409355048968813,6.2397964696228225,Bajo,0,0
Nunca,0,1,Baja,3.3811826888399135,3.3481300343010836,3.381145588814022,14.601675620574305,Bajo,0,0
A_veces,1,1,Media,3.9179832581716934,3.693631468493538,3.1500690316976265,12.696663785607665,Bajo,0,0
A_veces,1,0,Media,3.1467726011848365,3.3514942604008384,3.577048460656375,13.761898951841596,Bajo,0,0
Frecuente,1,0,Media,3.7130695461272345,2.855960969979959,3.955342611811215,23.52462827776236,Medio,0,0
Nunca,1,1,Baja,4.567407210480903,4.422055172565698,4.354072515154467,25.456561719895376,Alto,1,1
A_veces,1,0,Alta,3.8154557179443276,3.7243853920905137,2.975989665396287,16.534639749946688,Bajo,0,0
Frecuente,0,1,Media,4.7521612476332225,4.822171710027277,5.0,17.833060526302837,Alto,1,1
Frecuente,1,0,Baja,3.828500123523023,3.152211201640814,3.9582732539441174,9.720166588764279,Medio,0,0
A_veces,1,0,Alta,3.5680542045087877,3.747173619442457,3.4943044540224055,16.75900962535709,Bajo,0,0
Nunca,0,1,Alta,3.3431314555985496,3.7715503970988893,3.090503976062992,4.641057222851093,Bajo,0,0
Frecuente,0,1,Baja,4.638446487728052,4.097603230612065,4.062437982417784,22.786337747305375,Medio,1,1
Frecuente,0,1,Baja,4.073416256498493,4.2219339480401,4.478536355424401,22.78608467880588,Alto,1,1
Nunca,1,0,Baja,4.640485391404225,4.620146578932157,4.165968768952818,29.906161398903585,Medio,1,0
Frecuente,0,1,Media,3.179925898236056,2.6649244249554487,3.7282582728745695,4.307712702864522,Bajo,0,1
Frecuente,0,1,Media,4.369945780710301,4.4298028178604385,4.628325783073614,27.606641492821,Medio,1,1
Nunca,0,1,Alta,3.1018698153918245,4.0124922392228,2.9826877016216486,5.809745986560032,Medio,0,0
A_veces,1,0,Baja,4.551322057573689,4.612903191432883,4.109979677031714,18.394327985542205,Alto,1,1
A_veces,0,0,Media,3.684553383807903,3.4922024832250544,3.8745128394668042,8.389600279399431,Bajo,0,0
Nunca,1,1,Alta,3.3064168369412514,3.2052288429817315,3.222195350326639,12.605391462368564,Bajo,0,0
A_veces,1,1,Alta,3.7592781428779367,3.320212574094592,3.47483188007397,11.70183024713986,Bajo,0,0
Frecuente,0,0,Media,5.0,4.424299401935907,3.3643134186571477,18.275793370100477,Alto,1,1
Nunca,0,0,Alta,3.649899437233669,2.903489181213457,3.141375386898823,7.315049641213921,Bajo,0,0
A_veces,1,1,Media,4.030563805517673,4.026829731331484,4.556998990496356,22.98289659992257,Alto,1,1
A_veces,0,1,Media,3.9810127142036347,3.3179974763216245,3.5721034829709737,8.573941541686999,Bajo,0,0
Nunca,0,0,Alta,3.789764923893368,3.932465095337998,3.4688360453373397,5.228172743218458,Medio,0,1
Frecuente,1,1,Baja,3.883904318868704,4.517893916475105,5.0,25.78018651569937,Alto,1,1
Frecuente,0,0,Alta,2.7792399611593166,3.0252934969008534,3.7936722276846964,7.973357797290768,Bajo,0,0
Nunca,0,1,Baja,4.738116315137787,4.229047295155424,4.536155785887643,22.707640826370007,Medio,1,1
A_veces,0,1,Baja,4.870318322266528,4.486446432716344,4.008068470377083,23.03571435914706,Alto,1,1
Nunca,0,1,Baja,4.7379694374106816,4.155048183026787,4.697168763419078,20.42150202458384,Alto,1,1
Frecuente,0,1,Media,3.745082028040622,3.1160973552367284,3.8125852224151324,12.143200634603328,Medio,0,0
Frecuente,1,0,Baja,4.188479755579503,4.836589534960745,4.291975156387783,29.85634867315343,Medio,1,1
Frecuente,0,0,Baja,4.292658810763948,5.0,4.683336141356204,19.594529424195144,Alto,1,1
A_veces,0,0,Alta,3.8941146473954937,2.578467978205864,2.7384718187305306,11.68768301694114,Medio,0,0
Frecuente,0,1,Alta,3.12953723430193,3.6200498328340243,3.99014243290795,22.569081434447455,Medio,0,0
Nunca,0,0,Alta,3.741363560070274,3.259901055679958,3.4867910055120395,17.378020252899887,Bajo,0,0
A_veces,1,0,Media,2.706821032202587,3.3097095340076055,3.4530065038461193,9.427980349078066,Bajo,0,0
A_veces,1,0,Baja,4.030369502408144,4.355136593033587,4.303989927569919,34.38654798419066,Alto,1,1
A_veces,1,0,Baja,3.1732952314627956,4.25309342704438,2.8016302108571085,13.930560308862317,Bajo,0,0
Frecuente,0,1,Media,2.9067922199163942,4.018683539953237,3.8882881781117127,14.431586038866158,Bajo,0,1
A_veces,1,1,Baja,4.4436585133573345,4.3126554317129075,4.951526136214429,16.70067446596551,Alto,1,1
Frecuente,1,1,Alta,3.294030069266144,2.810402914818193,3.2341465577847415,19.19074610739809,Medio,0,0
A_veces,0,1,Media,3.1338357916905113,4.287608282959333,3.573948299814984,22.00303916253724,Medio,0,0
Nunca,1,1,Media,4.014560739103866,4.442637825266672,4.569549450560336,13.366541243229829,Alto,1,1
A_veces,0,1,Media,3.914099698580868,4.017980448611509,3.452690690507089,11.851111053960633,Bajo,0,0
Nunca,1,1,Media,4.352919072210217,4.8240215145128005,3.922715931940415,24.77505841629304,Alto,1,1
Frecuente,0,1,Baja,4.82388628178059,4.400469169756687,4.00947385582662,27.79083424006926,Medio,1,1
Nunca,1,0,Baja,4.526412192230389,4.683948587747452,3.9433339405941408,29.29452699943909,Alto,1,1
Nunca,0,0,Baja,4.244779011416238,4.400306425615515,3.921900815751332,22.034430602174773,Alto,1,1
Nunca,1,0,Alta,3.178431276486382,3.453381462670737,3.7885252440804185,3.0071972618715694,Bajo,0,0
A_veces,1,1,Baja,3.8883015704828985,5.0,4.595442000989474,21.963831416717188,Alto,1,1
Nunca,0,1,Alta,3.588379336312812,3.598473742623045,4.684426349055768,11.719576604613914,Bajo,0,0
Frecuente,0,1,Alta,3.528063424290251,4.066416280431246,3.4387746288127437,15.042695063295628,Bajo,0,0
A_veces,0,0,Baja,4.160082469030057,4.617514955421453,4.715661288515942,27.833425789197413,Alto,1,1
Nunca,0,0,Media,3.967408342070716,5.0,3.9594423211380025,31.285428861801094,Alto,1,1
A_veces,0,1,Media,3.806795812259006,3.3828373861552676,2.77042134803834,13.02497366735475,Medio,0,0
Frecuente,1,1,Baja,4.093903089666427,3.995891763741256,5.0,10.418405012172432,Medio,1,1
Frecuente,0,0,Baja,4.63685796215171,5.0,4.345523958330465,26.090281728038562,Medio,1,1
Frecuente,1,0,Alta,3.060948343979832,3.2605991027346297,2.839801330103182,7.83601503035405,Bajo,0,0
Frecuente,0,1,Alta,3.089993819605377,2.8149958837825597,3.4684443614579337,15.976120745130956,Bajo,0,0
A_veces,0,1,Media,3.5585618331488185,2.9914066351922903,3.654018318364542,11.746436492625433,Medio,0,0
Frecuente,0,0,Baja,4.4390600071427055,4.499572834839957,4.647250579692164,27.76046886179789,Alto,1,0
A_veces,0,1,Baja,4.909742305123316,4.834386929039015,3.7500538694370595,29.459844009864902,Alto,1,1
Nunca,0,1,Alta,3.8258105281213215,4.257186887664478,3.4896976400232247,7.243248727641729,Bajo,0,0
A_veces,0,1,Baja,4.3617617670595425,5.0,4.381298454086959,25.190774723003692,Alto,1,1
Nunca,1,1,Baja,4.162215898751189,3.971075981122621,4.57810970438667,18.91506873147715,Alto,1,1
A_veces,1,0,Baja,4.455532668630262,4.1046492301347195,4.244195929477888,29.568009145378397,Alto,1,1
Frecuente,1,0,Media,4.010038947901323,4.161217478075173,4.624546750588315,17.71966093469539,Alto,1,1
Nunca,1,1,Media,4.49084403231108,4.250685182608209,4.982245664199986,26.550236234387473,Alto,1,1
A_veces,1,0,Alta,3.5822376492418417,2.5282912647674185,4.328684566991195,5.414618427925248,Medio,0,0
Nunca,1,0,Media,3.6864436277861894,3.102539374015905,3.342661265308311,11.897783716034219,Bajo,0,1
A_veces,0,0,Alta,3.4241455767968842,3.343811578870473,3.59902797972392,8.768887060187996,Medio,0,0
Frecuente,1,0,Alta,3.8815650475936283,3.2180816843689537,3.8846143432667377,9.554920888116738,Bajo,0,1
Frecuente,0,0,Baja,3.890247966933758,3.390617535790486,3.6467291907423083,15.200208396098208,Medio,0,0
Frecuente,1,0,Baja,3.341263672209761,3.911975244513189,3.461209025367736,5.614899652419193,Bajo,0,0
A_veces,0,0,Alta,3.512174125699338,3.2362227431284865,3.2995747769365753,18.174400618377728,Bajo,0,0
Frecuente,1,1,Alta,4.005636228025797,3.8712919066962126,3.2557634686589414,17.76005780021333,Medio,0,0
Frecuente,0,1,Media,4.855263818044972,4.813855330957894,3.862110248265144,28.56337144506804,Alto,1,1
Nunca,1,1,Baja,4.6712454277402395,3.8086051846494624,4.594151065749364,21.61215460672669,Alto,1,1
Frecuente,0,1,Baja,4.5730826335953045,4.708604634263133,4.894995444735242,33.009743221377235,Alto,1,1
Nunca,1,1,Alta,4.027749880623988,3.743344327234059,4.260675931137451,9.671395286429725,Bajo,0,0
Nunca,0,0,Alta,3.3546228372380122,3.4702919534142214,3.248405559494171,3.984141644533295,Medio,0,0
A_veces,0,0,Baja,3.9579534877753924,5.0,4.318513685090631,26.975202855084795,Alto,1,1
Nunca,1,0,Baja,4.39755994905824,4.612648343365118,4.668835988871222,26.116143304681344,Alto,1,1
A_veces,1,1,Media,3.011174072685008,3.420902875602519,3.29293461401645,9.74344661362803,Bajo,0,0
Nunca,1,0,Alta,3.0963295824431696,3.707653796520736,3.0885267608167792,9.08679484259338,Bajo,0,0
Frecuente,1,1,Baja,4.031972961716961,5.0,4.8575854402889345,14.993519960420338,Alto,1,1
Nunca,0,0,Alta,2.878565305322003,3.028550529535108,3.003137998462892,16.207783543229198,Medio,0,0
Nunca,1,1,Alta,3.3544240715684737,3.0557076079444045,3.962888464500065,13.596892490421117,Bajo,0,0
Frecuente,0,1,Baja,4.62643879854253,4.884549017230265,4.3138434111644175,17.50230581388617,Alto,1,1
Frecuente,0,1,Media,4.09321552970974,3.6044973589733607,3.532278138277925,10.895656536258645,Bajo,0,0
Nunca,0,0,Baja,3.9841343036685375,4.2152772391504945,4.625926656775864,28.527741808926212,Alto,1,1
Nunca,1,1,Baja,3.0513158896332753,2.7146026008698336,3.6461868222583114,10.502827253246478,Medio,0,0
Frecuente,1,1,Media,4.074121262966971,4.005788521763353,4.671658746240103,23.87559882845618,Alto,1,1
Frecuente,1,0,Baja,4.356158464633076,4.548807986170524,4.379131867573792,23.845966121997172,Alto,1,0
Nunca,0,1,Baja,4.086625693815517,4.0565315953678045,4.4546972354973535,20.207944398335023,Alto,1,1
Frecuente,1,1,Baja,4.175287993704161,4.688405993605584,4.680394057369355,17.86803110324572,Alto,1,1
Frecuente,1,0,Baja,4.21030719617524,4.639065207331111,4.673856113520916,33.2695762625373,Alto,1,1
Nunca,0,1,Alta,3.237076562551681,4.059920928242498,4.132967031464832,10.73699895570805,Bajo,0,0
Nunca,0,0,Alta,3.2999888783257543,2.8152228276409508,3.6304904954354904,12.379017366661143,Bajo,0,0
Frecuente,0,0,Alta,3.253924504586418,3.8670819428870273,3.165974577965123,15.508847500258083,Bajo,0,0
Frecuente,1,1,Media,4.759446840087071,4.514162141636075,4.478399332091599,22.992040439438608,Alto,1,1
Frecuente,0,0,Baja,3.9067936963656065,4.475321015668533,4.843467593054241,33.6136623409531,Alto,1,1
Nunca,0,1,Media,4.618316858278339,3.9480837205181594,4.205492159020114,19.107543355978123,Alto,1,1
A_veces,0,1,Baja,4.910196131592058,5.0,3.9793843451239193,5.414978487225243,Alto,1,1
A_veces,1,0,Media,3.7617927718357818,2.661458198734962,3.180713027729953,8.955156636106054,Medio,0,0
Nunca,0,0,Baja,4.809465486763694,4.275512967612772,4.315583008293911,10.38643954558514,Alto,1,1
Frecuente,1,1,Media,4.6386646416683766,3.5057081516075197,3.8289490424648696,30.422103731831935,Alto,1,1
Frecuente,0,1,Alta,2.859683164982732,3.8248936462010925,4.301626820465521,6.441710132945616,Medio,0,0
Frecuente,0,0,Baja,3.8178765992767025,4.314303568456205,3.712255266887819,19.985589843637726,Medio,1,1
Nunca,1,0,Alta,3.8334505130087257,3.2670392328416997,3.628203648953235,11.441641487379306,Bajo,0,0
A_veces,1,1,Baja,3.4886529709992824,3.194324598336315,3.6205615297742813,12.129195194752434,Bajo,0,0
A_veces,0,1,Alta,3.557099913098546,2.70614433008314,2.941270852213555,8.81413720605592,Bajo,0,0
A_veces,0,1,Media,4.672017033552642,4.432859295210119,4.00407411750973,31.533726129204382,Medio,1,1
Nunca,1,1,Media,4.546864983651033,4.704422907128758,3.3956940190339244,34.73571076583148,Alto,1,1
A_veces,1,1,Media,4.850348901377103,4.66857856099063,4.876129817374171,18.512417659643155,Alto,1,1
Nunca,1,0,Alta,3.1122768754847216,3.0977437879098497,3.973069247852087,13.71345979513047,Bajo,0,1
A_veces,0,1,Baja,3.694198245663487,3.9351276985165566,3.6497802224724283,16.64330714951408,Medio,0,0
Frecuente,1,1,Alta,2.8690356409497166,2.8569638459857405,3.636155696150171,16.31454076126436,Medio,0,0
Frecuente,0,1,Alta,3.0442574255423445,3.0960200941624825,3.5204146488235106,15.385953903591972,Bajo,0,0
Frecuente,0,0,Media,3.2719780501193743,3.1968772052051175,4.006347564007612,13.763084751952864,Bajo,0,0
Frecuente,0,1,Baja,4.52511866098455,5.0,3.6594895597509693,34.16377029036297,Alto,1,1
Frecuente,1,1,Alta,3.221412145493408,3.0624945087081796,4.341333722693086,3.313506528247794,Bajo,0,0
Nunca,0,0,Media,3.3955150399986223,4.0249583450151984,3.1677540283260637,9.821274097116376,Bajo,0,0
Frecuente,0,1,Baja,4.0326314035162625,4.461484083409513,3.7974479128835026,31.5819367245643,Alto,1,1
A_veces,1,0,Media,3.1441866769159406,3.830015440949952,3.8696104070098563,11.096937347990636,Bajo,0,0
Frecuente,0,0,Alta,3.8657057036287554,3.5727540144223395,3.1827357257251503,6.718610767222719,Bajo,0,0
Nunca,0,0,Media,4.206824880219152,3.887432699476193,4.491349790251664,32.20995981766859,Alto,1,1
Nunca,1,1,Media,4.72921530896728,4.392696406518609,3.9967224297777344,22.743685477053088,Alto,1,1
Frecuente,0,1,Media,3.069428117689757,3.0973513445714653,3.18522741369133,7.116086103081357,Bajo,0,0
Nunca,0,0,Media,3.298758816802165,2.822662126516396,3.4977468200717996,14.451095620250278,Bajo,0,0
A_veces,0,0,Baja,4.529473511185379,3.2966364964915678,4.076417906802079,20.132095427483147,Alto,1,1
Nunca,0,1,Media,4.247450521247505,3.5124948139770558,4.484251986374537,16.045635571396332,Alto,1,1
Frecuente,1,0,Alta,3.3813929599759533,2.9968720704734393,2.7885507316367764,12.454845076234587,Bajo,0,0
A_veces,0,1,Baja,4.49826738210548,4.561421199913744,4.4710230572979555,19.002377140505708,Alto,1,1
A_veces,1,1,Baja,3.739885846728931,4.001042074785426,3.945615973676337,18.694431372063,Alto,1,1
A_veces,1,1,Alta,3.08326811832467,3.414409833569646,2.82771038890882,7.798779384618319,Bajo,0,0
Nunca,0,0,Media,4.588371261983245,4.2272095755391845,4.680366376696405,22.713594962343745,Medio,1,1
Nunca,0,0,Media,4.856329344932209,5.0,5.0,26.67713367956567,Alto,1,1
Nunca,1,0,Media,3.719840327520299,3.2584419359682544,3.819503719301043,21.26209611693736,Medio,0,0
Frecuente,1,1,Baja,4.42483866930866,3.7902187419661795,4.497153229042911,25.698534731651076,Alto,1,1
Nunca,0,1,Media,4.60284781282645,4.302352718285441,4.588794171779051,19.98272755189042,Alto,1,1
A_veces,1,0,Media,4.023555924878366,4.64830495890292,4.5450139249975985,17.89393880235576,Alto,1,1
Nunca,1,0,Media,4.614138402158457,4.420742737593903,4.805108457793146,23.517542671655576,Alto,1,1
Nunca,1,1,Media,3.182685144321523,3.026970280585542,4.433571588568222,9.413662235121231,Bajo,0,0
Frecuente,1,1,Baja,5.0,4.059167459256137,3.6968874442231736,36.656125415467145,Alto,1,0
Nunca,0,1,Media,2.753812953446636,4.582335546489912,4.030897016154242,13.199516740243308,Medio,0,0
Frecuente,1,0,Media,4.778761921576512,4.51698256978069,4.859514643950732,26.50492415721678,Alto,1,1
Nunca,0,1,Baja,3.8076213925936195,4.323731905996924,4.677713177409416,23.812317684483265,Medio,1,1
Frecuente,0,1,Media,4.404899968858312,4.54554377264732,4.131508671889101,16.921448804293274,Alto,1,1
Frecuente,0,0,Media,3.2449128412719106,3.4404485703973555,2.9310841118917237,16.454071890921668,Bajo,0,1
Nunca,1,1,Media,4.7528420702974925,4.65529052402217,5.0,24.48982931312058,Alto,1,1
Nunca,1,1,Baja,3.9665042040363376,3.8514736531372,3.2386961951186226,9.673266424009253,Bajo,0,0
Nunca,0,0,Baja,4.937079301621144,4.072554470687323,4.174247768224529,26.101467400011902,Alto,1,1
Nunca,1,1,Media,3.572251605644424,3.5353388057250235,3.0236383129094966,4.764312610913647,Bajo,0,0
Nunca,0,0,Baja,3.78167993883555,4.754728372600224,4.166078833445567,25.3098131190539,Alto,1,1
A_veces,1,1,Media,4.732722627673292,4.814659889022943,4.1645949245435245,20.237270396946613,Medio,1,1
A_veces,1,0,Baja,4.342187777414921,5.0,4.388812717357641,30.509449162302687,Medio,1,1
A_veces,1,0,Baja,3.735572267761025,4.492993400970762,4.420591625518403,13.204776173519672,Medio,1,0
A_veces,1,0,Media,3.1719221345251727,3.6815527617931414,3.354362072036981,11.11497929173927,Bajo,0,0
Nunca,1,1,Baja,4.406714273450067,4.835881582354802,4.659802903344779,35.910172680402844,Alto,1,0
Nunca,0,1,Alta,3.664387597680691,3.6021034710991646,2.5913247072406973,15.19821086127734,Bajo,0,0
Frecuente,1,0,Media,5.0,4.336332849716092,3.6218497266263014,26.580772880110928,Alto,1,0
Nunca,1,0,Baja,3.3055258685658178,2.3461026418472404,3.6380952522312255,14.877299692532905,Medio,0,0
A_veces,1,1,Media,3.6238914100451494,3.2224166616928023,3.426094129604039,8.869731492718891,Medio,0,0
Nunca,0,1,Baja,3.704970698562106,3.3534356748233014,3.641180657164193,12.309490800236722,Bajo,0,0
A_veces,1,0,Alta,3.5068820511719814,3.5336227608682846,4.2187085737662615,7.531878696587504,Bajo,0,1
Nunca,0,1,Alta,3.560883224473006,3.744407340273628,3.626397546003941,14.203761731643262,Medio,0,0
Frecuente,1,1,Media,4.790757464102007,4.743629592901713,4.514473250581733,35.11380745042919,Alto,1,1
Frecuente,0,1,Alta,3.811465760762705,3.8210645841580737,4.396878534395324,16.185746192624595,Bajo,0,0
Nunca,0,1,Baja,3.347830490595117,3.6304861220025004,3.072605616511657,8.064456663782714,Bajo,0,1
A_veces,0,0,Alta,3.140206440538677,3.7017712799844102,2.9392182975919177,17.570891039470176,Medio,0,0
A_veces,1,1,Baja,4.372334142233466,4.445859520566979,4.528545839284188,15.97049385030662,Medio,1,1
Nunca,1,0,Baja,4.5145521796115,3.993533611315335,4.059911431645661,28.665310698809925,Medio,1,1
Frecuente,0,1,Baja,4.375386835583403,4.298029712205206,4.786155658705783,20.79164313385059,Alto,1,1
